Original Name,User-Friendly Name
public_sale_a_utility_from_holding_tokens,Public Sale A Utility From Holding Tokens
public_sale_a_holding_from_holding_tokens,Public Sale A Holding From Holding Tokens
public_sale_a_actions,Public Sale A Actions
public_sale_a_current_action,Public Sale A Current Action
team_agents,Team Agents
team_a_name,Team A Name
team_a_type,Team A Type
team_a_usd_funds,Team A Usd Funds
team_a_tokens,Team A Tokens
team_a_tokens_vested,Team A Tokens Vested
team_a_tokens_vested_cum,Team A Tokens Vested Cum
team_a_tokens_airdropped,Team A Tokens Airdropped
team_a_tokens_airdropped_cum,Team A Tokens Airdropped Cum
team_a_tokens_incentivised,Team A Tokens Incentivised
team_a_tokens_incentivised_cum,Team A Tokens Incentivised Cum
team_a_tokens_apr_locked,Team A Tokens Apr Locked
team_a_tokens_apr_locked_cum,Team A Tokens Apr Locked Cum
team_a_tokens_apr_locked_remove,Team A Tokens Apr Locked Remove
team_a_tokens_apr_locked_rewards,Team A Tokens Apr Locked Rewards
team_a_tokens_buyback_locked,Team A Tokens Buyback Locked
team_a_tokens_buyback_locked_cum,Team A Tokens Buyback Locked Cum
team_a_tokens_buyback_locked_remove,Team A Tokens Buyback Locked Remove
team_a_tokens_buyback_locked_rewards,Team A Tokens Buyback Locked Rewards
team_a_tokens_staking_vesting_locked,Team A Tokens Staking Vesting Locked
team_a_tokens_staking_vesting_locked_cum,Team A Tokens Staking Vesting Locked Cum
team_a_tokens_staking_vesting_locked_remove,Team A Tokens Staking Vesting Locked Remove
team_a_tokens_staking_vesting_locked_rewards,Team A Tokens Staking Vesting Locked Rewards
team_a_tokens_liquidity_mining,Team A Tokens Liquidity Mining
team_a_tokens_liquidity_mining_cum,Team A Tokens Liquidity Mining Cum
team_a_tokens_liquidity_mining_remove,Team A Tokens Liquidity Mining Remove
team_a_tokens_liquidity_mining_rewards,Team A Tokens Liquidity Mining Rewards
team_a_tokens_transferred,Team A Tokens Transferred
team_a_tokens_transferred_cum,Team A Tokens Transferred Cum
team_a_tokens_burned,Team A Tokens Burned
team_a_tokens_burned_cum,Team A Tokens Burned Cum
team_a_selling_tokens,Team A Selling Tokens
team_a_utility_tokens,Team A Utility Tokens
team_a_holding_tokens,Team A Holding Tokens
team_a_selling_from_holding_tokens,Team A Selling From Holding Tokens
team_a_utility_from_holding_tokens,Team A Utility From Holding Tokens
team_a_holding_from_holding_tokens,Team A Holding From Holding Tokens
team_a_actions,Team A Actions
team_a_current_action,Team A Current Action
ov_agents,Ov Agents
ov_a_name,Ov A Name
ov_a_type,Ov A Type
ov_a_usd_funds,Ov A Usd Funds
ov_a_tokens,Ov A Tokens
ov_a_tokens_vested,Ov A Tokens Vested
ov_a_tokens_vested_cum,Ov A Tokens Vested Cum
ov_a_tokens_airdropped,Ov A Tokens Airdropped
ov_a_tokens_airdropped_cum,Ov A Tokens Airdropped Cum
ov_a_tokens_incentivised,Ov A Tokens Incentivised
ov_a_tokens_incentivised_cum,Ov A Tokens Incentivised Cum
ov_a_tokens_apr_locked,Ov A Tokens Apr Locked
ov_a_tokens_apr_locked_cum,Ov A Tokens Apr Locked Cum
ov_a_tokens_apr_locked_remove,Ov A Tokens Apr Locked Remove
ov_a_tokens_apr_locked_rewards,Ov A Tokens Apr Locked Rewards
ov_a_tokens_buyback_locked,Ov A Tokens Buyback Locked
ov_a_tokens_buyback_locked_cum,Ov A Tokens Buyback Locked Cum
ov_a_tokens_buyback_locked_remove,Ov A Tokens Buyback Locked Remove
ov_a_tokens_buyback_locked_rewards,Ov A Tokens Buyback Locked Rewards
ov_a_tokens_staking_vesting_locked,Ov A Tokens Staking Vesting Locked
ov_a_tokens_staking_vesting_locked_cum,Ov A Tokens Staking Vesting Locked Cum
ov_a_tokens_staking_vesting_locked_remove,Ov A Tokens Staking Vesting Locked Remove
ov_a_tokens_staking_vesting_locked_rewards,Ov A Tokens Staking Vesting Locked Rewards
ov_a_tokens_liquidity_mining,Ov A Tokens Liquidity Mining
ov_a_tokens_liquidity_mining_cum,Ov A Tokens Liquidity Mining Cum
ov_a_tokens_liquidity_mining_remove,Ov A Tokens Liquidity Mining Remove
ov_a_tokens_liquidity_mining_rewards,Ov A Tokens Liquidity Mining Rewards
ov_a_tokens_transferred,Ov A Tokens Transferred
ov_a_tokens_transferred_cum,Ov A Tokens Transferred Cum
ov_a_tokens_burned,Ov A Tokens Burned
ov_a_tokens_burned_cum,Ov A Tokens Burned Cum
ov_a_selling_tokens,Ov A Selling Tokens
ov_a_utility_tokens,Ov A Utility Tokens
ov_a_holding_tokens,Ov A Holding Tokens
ov_a_selling_from_holding_tokens,Ov A Selling From Holding Tokens
ov_a_utility_from_holding_tokens,Ov A Utility From Holding Tokens
ov_a_holding_from_holding_tokens,Ov A Holding From Holding Tokens
ov_a_actions,Ov A Actions
ov_a_current_action,Ov A Current Action
advisor_agents,Advisor Agents
advisor_a_name,Advisor A Name
advisor_a_type,Advisor A Type
advisor_a_usd_funds,Advisor A Usd Funds
advisor_a_tokens,Advisor A Tokens
advisor_a_tokens_vested,Advisor A Tokens Vested
advisor_a_tokens_vested_cum,Advisor A Tokens Vested Cum
advisor_a_tokens_airdropped,Advisor A Tokens Airdropped
advisor_a_tokens_airdropped_cum,Advisor A Tokens Airdropped Cum
advisor_a_tokens_incentivised,Advisor A Tokens Incentivised
advisor_a_tokens_incentivised_cum,Advisor A Tokens Incentivised Cum
advisor_a_tokens_apr_locked,Advisor A Tokens Apr Locked
advisor_a_tokens_apr_locked_cum,Advisor A Tokens Apr Locked Cum
advisor_a_tokens_apr_locked_remove,Advisor A Tokens Apr Locked Remove
advisor_a_tokens_apr_locked_rewards,Advisor A Tokens Apr Locked Rewards
advisor_a_tokens_buyback_locked,Advisor A Tokens Buyback Locked
advisor_a_tokens_buyback_locked_cum,Advisor A Tokens Buyback Locked Cum
advisor_a_tokens_buyback_locked_remove,Advisor A Tokens Buyback Locked Remove
advisor_a_tokens_buyback_locked_rewards,Advisor A Tokens Buyback Locked Rewards
advisor_a_tokens_staking_vesting_locked,Advisor A Tokens Staking Vesting Locked
advisor_a_tokens_staking_vesting_locked_cum,Advisor A Tokens Staking Vesting Locked Cum
advisor_a_tokens_staking_vesting_locked_remove,Advisor A Tokens Staking Vesting Locked Remove
advisor_a_tokens_staking_vesting_locked_rewards,Advisor A Tokens Staking Vesting Locked Rewards
advisor_a_tokens_liquidity_mining,Advisor A Tokens Liquidity Mining
advisor_a_tokens_liquidity_mining_cum,Advisor A Tokens Liquidity Mining Cum
advisor_a_tokens_liquidity_mining_remove,Advisor A Tokens Liquidity Mining Remove
advisor_a_tokens_liquidity_mining_rewards,Advisor A Tokens Liquidity Mining Rewards
advisor_a_tokens_transferred,Advisor A Tokens Transferred
advisor_a_tokens_transferred_cum,Advisor A Tokens Transferred Cum
