Original Name,User-Friendly Name,Table
advisor_a_tokens,Advisor A Tokens,simulation_data
advisor_a_tokens_vested,Advisor A Tokens Vested,simulation_data
advisor_a_tokens_vested_cum,Advisor A Tokens Vested Cum,simulation_data
advisor_a_tokens_airdropped,Advisor A Tokens Airdropped,simulation_data
advisor_a_tokens_airdropped_cum,Advisor A Tokens Airdropped Cum,simulation_data
advisor_a_tokens_incentivised,Advisor A Tokens Incentivised,simulation_data
advisor_a_tokens_incentivised_cum,Advisor A Tokens Incentivised Cum,simulation_data
advisor_a_tokens_apr_locked,Advisor A Tokens Apr Locked,simulation_data
advisor_a_tokens_apr_locked_cum,Advisor A Tokens Apr Locked Cum,simulation_data
advisor_a_tokens_apr_locked_remove,Advisor A Tokens Apr Locked Remove,simulation_data
advisor_a_tokens_apr_locked_rewards,Advisor A Tokens Apr Locked Rewards,simulation_data
advisor_a_tokens_buyback_locked,Advisor A Tokens Buyback Locked,simulation_data
advisor_a_tokens_buyback_locked_cum,Advisor A Tokens Buyback Locked Cum,simulation_data
advisor_a_tokens_buyback_locked_remove,Advisor A Tokens Buyback Locked Remove,simulation_data
advisor_a_tokens_buyback_locked_rewards,Advisor A Tokens Buyback Locked Rewards,simulation_data
advisor_a_tokens_staking_vesting_locked,Advisor A Tokens Staking Vesting Locked,simulation_data
advisor_a_tokens_staking_vesting_locked_cum,Advisor A Tokens Staking Vesting Locked Cum,simulation_data
advisor_a_tokens_staking_vesting_locked_remove,Advisor A Tokens Staking Vesting Locked Remove,simulation_data
advisor_a_tokens_staking_vesting_locked_rewards,Advisor A Tokens Staking Vesting Locked Rewards,simulation_data
advisor_a_tokens_liquidity_mining,Advisor A Tokens Liquidity Mining,simulation_data
advisor_a_tokens_liquidity_mining_cum,Advisor A Tokens Liquidity Mining Cum,simulation_data
advisor_a_tokens_liquidity_mining_remove,Advisor A Tokens Liquidity Mining Remove,simulation_data
advisor_a_tokens_liquidity_mining_rewards,Advisor A Tokens Liquidity Mining Rewards,simulation_data
advisor_a_tokens_transferred,Advisor A Tokens Transferred,simulation_data
advisor_a_tokens_transferred_cum,Advisor A Tokens Transferred Cum,simulation_data
advisor_a_tokens_burned,Advisor A Tokens Burned,simulation_data
advisor_a_tokens_burned_cum,Advisor A Tokens Burned Cum,simulation_data
advisor_a_selling_tokens,Advisor A Selling Tokens,simulation_data
advisor_a_utility_tokens,Advisor A Utility Tokens,simulation_data
advisor_a_holding_tokens,Advisor A Holding Tokens,simulation_data
advisor_a_selling_from_holding_tokens,Advisor A Selling From Holding Tokens,simulation_data
advisor_a_utility_from_holding_tokens,Advisor A Utility From Holding Tokens,simulation_data
advisor_a_holding_from_holding_tokens,Advisor A Holding From Holding Tokens,simulation_data
advisor_a_actions,Advisor A Actions,simulation_data
advisor_a_current_action,Advisor A Current Action,simulation_data
strategic_partners_agents,Strategic Partners Agents,simulation_data
strategic_partners_a_name,Strategic Partners A Name,simulation_data
strategic_partners_a_type,Strategic Partners A Type,simulation_data
strategic_partners_a_usd_funds,Strategic Partners A Usd Funds,simulation_data
strategic_partners_a_tokens,Strategic Partners A Tokens,simulation_data
